Soal,Pilihan_1,Pilihan_2,Pilihan_3,Pilihan_4,Jawaban_Benar
Apa kepanjangan dari CPU?,Central Processing Unit,Computer Personal Unit,Central Program Unit,Control Processing Unit,0
Bahasa pemrograman populer untuk AI?,HTML,Python,CSS,PHP,1
Fungsi utama RAM adalah?,Menyimpan data permanen,Menyimpan data sementara,Memproses grafis game,Mengatur daya listrik,1
Sistem operasi buatan Microsoft?,Linux,Windows,Android,macOS,1
Perangkat di bawah ini yang termasuk input device adalah?,Monitor,Keyboard,Speaker,Printer,1
Protokol yang digunakan untuk mengirim email adalah?,SMTP,FTP,HTTP,SSH,0
Alat untuk menghubungkan beberapa jaringan berbeda adalah?,Switch,Hub,Router,Modem,2
Otak atau inti dari sebuah komputer disebut?,RAM,GPU,Motherboard,Processor,3
Satuan kecepatan transfer data internet adalah?,Hertz,Pixel,Kbps/Mbps,Byte,2
Manakah yang merupakan database management system?,Python,MySQL,HTML,VS Code,1
Apa kepanjangan dari WWW?,World Wide Web,Web Wide World,World Whole Web,Word Wide Web,0
Bagian komputer yang menangani pemrosesan grafis adalah?,CPU,RAM,SSD,GPU,3
Ekstensi file untuk skrip Python adalah?,.py,.js,.html,.txt,0
Di bawah ini yang merupakan perangkat penyimpanan cepat (SSD) adalah?,Solid State Drive,Solid Super Drive,Super Speed Disk,Sistem Storage Digital,0
Protokol aman untuk berselancar di web adalah?,HTTP,HTTPS,FTP,SMTP,1
Apa arti dari istilah 'Bug' dalam pemrograman?,Fitur baru,Kesalahan/Error,Virus komputer,Hardware rusak,1
Platform repositori kode online milik Microsoft adalah?,GitHub,GitLab,Bitbucket,SourceForge,0
RAM singkatan dari?,Random Access Memory,Read Access Memory,Run Action Memory,Real Audio Monitor,0
Sistem bilangan yang hanya terdiri dari angka 0 dan 1 disebut?,Desimal,Oktal,Heksadesimal,Biner,3
IP Address singkatan dari?,Internet Provider,Internet Protocol,Internal Process,Information Program,1
Situs pencari terbesar di dunia saat ini adalah?,Yahoo,Bing,Google,DuckDuckGo,2
Manakah yang merupakan bahasa pemrograman tingkat tinggi?,HTML,CSS,Java,SQL,2
Komponen yang menyuplai listrik ke motherboard adalah?,Power Supply,Stabilizer,UPS,Baterai CMOS,0
Apa fungsi utama dari Firewall?,Mempercepat internet,Menghapus virus,Memblokir akses ilegal,Menghemat kuota,2
Pencipta bahasa pemrograman Python adalah?,Mark Zuckerberg,Guido van Rossum,Bill Gates,Linus Torvalds,1
Sistem operasi open-source yang berlogo pinguin adalah?,Windows,macOS,Linux,FreeBSD,2
Alat yang mengubah sinyal digital menjadi analog adalah?,Router,Switch,Hub,Modem,3
Di bawah ini yang bukan merupakan browser internet adalah?,Chrome,Safari,Firefox,Photoshop,3
Apa kepanjangan dari URL?,Uniform Resource Locator,Universal Resource Link,United Resource Locator,Unique Unit Resource,0
Manakah teknologi nirkabel jarak dekat?,Fiber Optic,Bluetooth,Ethernet,Satelit,1
Format gambar transparan yang paling populer adalah?,JPEG,BMP,PNG,GIF,2
Istilah untuk mencadangkan data adalah?,Restore,Delete,Update,Backup,3
Teknologi layar sentuh pada smartphone umumnya menggunakan?,Kapasitif,Resistif,Inframerah,Gelombang Akustik,0
Alat yang digunakan untuk mencetak objek 3 dimensi disebut?,Plotter,Scanner,Printer 3D,Mesin CNC,2
Siapakah pendiri dari Microsoft?,Steve Jobs,Elon Musk,Bill Gates,Jeff Bezos,2
Domain .id menandakan situs tersebut berasal dari?,Inggris,Indonesia,India,Italia,1
Apa fungsi dari perintah 'Ctrl + Z' di komputer?,Copy,Paste,Undo,Redo,2
Sistem operasi mobile paling populer di dunia adalah?,iOS,Android,Windows Phone,Symbian,1
Teknologi penyimpanan awan dari Google disebut?,OneDrive,Dropbox,iCloud,Google Drive,3
Manakah yang termasuk perangkat output?,Keyboard,Mouse,Monitor,Scanner,2
Kabel yang menggunakan cahaya untuk mentransfer data adalah?,Coaxial,UTP,Fiber Optic,Kabel Telepon,2
Apa singkatan dari LAN dalam jaringan komputer?,Local Area Network,Large Area Network,Log Action Network,Link Access Node,0
Menghapus file secara permanen di Windows tanpa ke Recycle Bin menggunakan?,Shift + Delete,Ctrl + Delete,Alt + Delete,Fn + Delete,0
Sistem operasi untuk komputer buatan Apple adalah?,Windows,Linux,macOS,Ubuntu,2
Jenis memori yang datanya tidak hilang saat komputer mati adalah?,RAM,Cache,ROM/VRAM,Register,2
Bahasa yang digunakan untuk mendesain tampilan halaman web adalah?,PHP,SQL,CSS,Java,2
Pemberian hak akses ilegal ke komputer oleh hacker disebut?,Hacking,Phishing,Spamming,Cracking,0
Manakah yang merupakan contoh dari perangkat keras?,Operating System,Web Browser,Microsoft Office,Motherboard,3
Apa nama domain khusus untuk lembaga pendidikan/sekolah di Indonesia?,.com,.org,.sch.id,.gov,2
Kombinasi tombol untuk menyalin teks (Copy) adalah?,Ctrl + C,Ctrl + V,Ctrl + X,Ctrl + A,0
